Discrete Score,Genre,IMDB Score (bin),Language,Premiere,Runtime (bin),Simplified Genre,Title,IMDB Score,percent of good,Premiere Month,Premiere Year,Runtime
average,Animation,5.0,English,7/23/2020,82,animation,The Larva Island Movie,5.1,1,7,2020,90
average,Comedy,5.0,English,9/8/2017,94,comedy,#REALITYHIGH,5.2,1,9,2017,99
average,Aftershow / Interview,5.0,English,8/21/2019,0,variety,American Factory: A Conversation with the Obamas,5.2,1,8,2019,10
average,Romantic comedy,5.0,English,7/3/2020,105,romantic,Desperados,5.2,1,7,2020,106
average,Christmas musical,5.0,English,11/22/2020,94,musical,Dolly Parton's Christmas on the Square,5.2,1,11,2020,98
average,Comedy,5.0,English,7/20/2018,94,comedy,Father of the Year,5.2,1,7,2018,94
average,Drama,5.0,Marathi,2/22/2019,105,drama,Firebrand,5.2,1,2,2019,112
average,Horror,5.0,Thai,5/26/2021,117,horror,Ghost Lab,5.2,1,5,2021,117
average,Comedy,5.0,English,2/14/2017,58,comedy,Girlfriend's Day,5.2,1,2,2017,70
average,Comedy,5.0,English,5/5/2017,70,comedy,Handsome: A Netflix Mystery Movie,5.2,1,5,2017,81
average,Comedy,5.0,English,10/7/2020,94,comedy,Hubie Halloween,5.2,1,10,2020,103
average,Comedy,5.0,English,5/25/2018,94,comedy,Ibiza,5.2,1,5,2018,94
average,Science fiction adventure,5.0,English,5/24/2019,94,science fiction,Rim of the World,5.2,1,5,2019,98
average,Comedy,5.0,English,4/14/2017,129,comedy,Sandy Wexler,5.2,1,4,2017,131
average,Science fiction,5.0,English,5/17/2019,82,science fiction,See You Yesterday,5.2,1,5,2019,87
average,Variety show,5.0,English,5/14/2019,58,variety,Still Laugh-In: The Stars Celebrate,5.2,1,5,2019,60
average,Documentary,5.0,English,2/5/2021,105,documentary,"Strip Down, Rise Up",5.2,1,2,2021,112
average,Comedy-drama,5.0,English,9/13/2019,94,drama,Tall Girl,5.2,1,9,2019,102
average,Drama,5.0,Italian,11/27/2020,94,drama,The Beast,5.2,1,11,2020,99
average,Comedy,5.0,English,4/27/2018,105,comedy,The Week Of,5.2,1,4,2018,116
average,Romantic comedy,5.0,English,11/30/2018,82,romantic,A Christmas Prince: The Royal Wedding,5.3,1,11,2018,92
average,Comedy,5.0,French,8/30/2019,82,comedy,Back to School,5.3,1,8,2019,83
average,Thriller,5.0,English,4/30/2020,94,thriller,Dangerous Lies,5.3,1,4,2020,97
average,Drama,5.0,Hindi,8/12/2020,105,drama,Gunjan Saxena: The Kargil Girl,5.3,1,8,2020,112
average,Thriller,5.0,Spanish,5/28/2020,105,thriller,Intuition,5.3,1,5,2020,116
average,Thriller,5.0,French,9/7/2018,94,thriller,The Most Assassinated Woman in the World,5.3,1,9,2018,102
average,Horror,5.0,English,4/29/2021,117,horror,Things Heard & Seen,5.3,1,4,2021,121
average,Romantic comedy,5.0,French,6/24/2018,94,romantic,"To Each, Her Own",5.3,1,6,2018,95
average,Drama,5.0,Spanish,4/12/2019,82,drama,Who Would You Take to a Deserted Island?,5.3,1,4,2019,93
average,Drama,5.0,English,8/26/2016,82,drama,XOXO,5.3,1,8,2016,92
average,Comedy/Fantasy/Family,5.0,English,10/15/2020,94,comedy,A Babysitter's Guide to Monster Hunting,5.4,1,10,2020,98
average,Romantic comedy,5.0,English,12/5/2019,82,romantic,A Christmas Prince: The Royal Baby,5.4,1,12,2019,85
average,Comedy,5.0,Spanish,5/3/2019,70,comedy,Despite Everything,5.4,1,5,2019,78
average,Drama,5.0,Hindi,9/18/2020,117,drama,Dolly Kitty and Those Twinkling Stars,5.4,1,9,2020,120
average,Supernatural drama,5.0,German,9/2/2020,82,drama,Freaks: You're One of Us,5.4,1,9,2020,92
average,Action/Comedy,5.0,English,3/23/2018,94,comedy,"Game Over, Man!",5.4,1,3,2018,101
average,Thriller,5.0,Hindi,3/6/2020,117,thriller,Guilty,5.4,1,3,2020,119
average,Horror,5.0,English,10/4/2019,94,horror,In the Tall Grass,5.4,1,10,2019,101
average,Drama,5.0,French,4/2/2021,105,drama,Madame Claude,5.4,1,4,2021,112
average,Comedy,5.0,English,8/11/2017,94,comedy,Naked,5.4,1,8,2017,96
average,Action/Science fiction,5.0,English,1/15/2021,105,science fiction,Outside the Wire,5.4,1,1,2021,114
average,Romantic comedy,5.0,English,11/19/2020,94,romantic,The Princess Switch: Switched Again,5.4,1,11,2020,97
average,Romantic teenage drama,5.0,Italian,7/1/2020,94,drama,Under the Riccione Sun,5.4,1,7,2020,101
average,Comedy / Musical,5.0,English,12/4/2015,47,comedy,A Very Murray Christmas,5.5,1,12,2015,56
average,Musical,5.0,English,10/26/2018,94,musical,Been So Long,5.5,1,10,2018,100
average,Thriller,5.0,Filipino,12/1/2019,94,thriller,Dead Kids,5.5,1,12,2019,94
average,Comedy,5.0,Portuguese,4/28/2021,94,comedy,Get the Grift,5.5,1,4,2021,94
average,Documentary,5.0,English,,12,documentary,Ghosts of Sugar Land,5.5,1,,,21
average,Comedy,5.0,Hindi,11/15/2019,94,comedy,House Arrest,5.5,1,11,2019,104
average,Variety show,5.0,English,2/8/2019,58,variety,Kevin Hart's Guide to Black History,5.5,1,2,2019,63
average,Romantic comedy,5.0,English,4/10/2020,94,romantic,Love Wedding Repeat,5.5,1,4,2020,100
average,Science fiction/Mystery,5.0,English,2/23/2018,117,science fiction,Mute,5.5,1,2,2018,126
average,Crime drama,5.0,English,10/2/2020,105,drama,Òlòt?ré,5.5,1,10,2020,106
average,Thriller,5.0,Swedish,2/11/2021,82,thriller,Red Dot,5.5,1,2,2021,86
average,Psychological thriller drama,5.0,Japanese,4/15/2021,140,drama,Ride or Die,5.5,1,4,2021,142
average,Comedy,5.0,English,1/19/2018,105,comedy,Step Sisters,5.5,1,1,2018,108
average,Science fiction,5.0,English,2/4/2018,94,science fiction,The Cloverfield Paradox,5.5,1,2,2018,102
average,Romantic comedy,5.0,English,11/21/2019,82,romantic,The Knight Before Christmas,5.5,1,11,2019,92
average,Adventure/Comedy,5.0,English,7/6/2018,82,comedy,The Legacy of a Whitetail Deer Hunter,5.5,1,7,2018,83
average,Black comedy,5.0,English,8/10/2018,94,comedy,The Package,5.5,1,8,2018,94
average,Comedy,5.0,English,4/5/2019,82,comedy,Unicorn Store,5.5,1,4,2019,92
average,Comedy,5.0,English,5/10/2019,94,comedy,Wine Country,5.5,1,5,2019,103
average,Black comedy,5.5,Spanish/Basque,10/12/2017,82,comedy,Bomb Scared,5.6,1,10,2017,89
average,Comedy,5.5,English,7/7/2016,94,comedy,Brahman Naman,5.6,1,7,2016,95
average,Comedy-drama,5.5,Portuguese,1/15/2021,94,drama,Double Dad,5.6,1,1,2021,103
average,Romantic comedy,5.5,English,8/29/2019,94,romantic,Falling Inn Love,5.6,1,8,2019,97
average,Thriller,5.5,English,9/28/2018,117,thriller,Hold the Dark,5.6,1,9,2018,125
average,Romantic comedy,5.5,English,9/3/2020,82,romantic,"Love, Guaranteed",5.6,1,9,2020,91
average,Romance,5.5,Turkish,6/19/2020,82,romantic,One-Way to Tomorrow,5.6,1,6,2020,90
average,Variety show,5.5,English,10/27/2020,47,variety,Sarah Cooper: Everything's Fine,5.6,1,10,2020,49
average,Comedy-drama,5.5,English,1/11/2019,94,drama,The Last Laugh,5.6,1,1,2019,98
average,Romantic drama,5.5,Italian,2/5/2021,105,drama,The Last Paradiso,5.6,1,2,2021,107
average,Science fiction,5.5,English,12/23/2020,117,science fiction,The Midnight Sky,5.6,1,12,2020,118
average,Thriller,5.5,Spanish,9/16/2020,94,thriller,The Paramedic,5.6,1,9,2020,94
average,Comedy,5.5,English,8/21/2020,94,comedy,The Sleepover,5.6,1,8,2020,103
average,Horror comedy,5.5,English,10/2/2020,82,comedy,Vampires vs. the Bronx,5.6,1,10,2020,86
average,Documentary,5.5,English,4/14/2021,82,documentary,Why Did You Kill Me?,5.6,1,4,2021,83
average,Christian musical,5.5,English,3/26/2021,94,musical,A Week Away,5.7,1,3,2021,97
average,Romantic teen drama,5.5,Italian,3/25/2021,94,drama,Caught by a Wave,5.7,1,3,2021,99
average,Romantic drama,5.5,English,12/15/2017,94,drama,Christmas Inheritance,5.7,1,12,2017,104
average,Family,5.5,Spanish,9/11/2020,94,family,Dad Wanted,5.7,1,9,2020,102
average,Dark comedy,5.5,English,12/8/2017,82,comedy,El Camino Christmas,5.7,1,12,2017,89
average,Horror,5.5,English,10/18/2019,94,horror,Eli,5.7,1,10,2019,98
average,Romantic comedy,5.5,Hindi,10/9/2020,117,romantic,Ginny Weds Sunny,5.7,1,10,2020,125
average,Drama,5.5,English,5/16/2019,82,drama,Good Sam,5.7,1,5,2019,89
average,Comedy,5.5,English,1/4/2019,94,comedy,Lionheart,5.7,1,1,2019,94
average,Comedy horror,5.5,English,9/1/2017,94,comedy,Little Evil,5.7,1,9,2017,94
average,Documentary,5.5,Thai,6/18/2020,82,documentary,One Take,5.7,1,6,2020,85
average,Documentary,5.5,English,12/12/2018,23,documentary,"Out of Many, One",5.7,1,12,2018,34
average,Action,5.5,English,7/12/2019,82,action,Point Blank,5.7,1,7,2019,86
average,Thriller,5.5,Polish,4/14/2021,82,thriller,Prime Time,5.7,1,4,2021,91
average,Action comedy,5.5,English,5/27/2016,105,comedy,The Do-Over,5.7,1,5,2016,108
average,Romantic comedy,5.5,English,11/2/2018,94,romantic,The Holiday Calendar,5.7,1,11,2018,95
average,Psychological thriller,5.5,English,5/14/2021,94,thriller,The Woman in the Window,5.7,1,5,2021,100
average,Comedy,5.5,English,5/13/2020,82,comedy,The Wrong Missy,5.7,1,5,2020,90
average,Thriller,5.5,English,2/1/2019,105,thriller,Velvet Buzzsaw,5.7,1,2,2019,112
average,Comedy,5.5,English,3/12/2021,82,comedy,Yes Day,5.7,1,3,2021,86
average,Comedy-drama,5.5,Marathi,3/29/2019,117,drama,15 August,5.8,1,3,2019,124
average,Romantic comedy,5.5,English,12/14/2020,105,romantic,A California Christmas,5.8,1,12,2020,107
average,Romantic comedy,5.5,English,11/17/2017,82,romantic,A Christmas Prince,5.8,1,11,2017,92
average,Drama,5.5,English,5/1/2020,117,drama,All Day and a Night,5.8,1,5,2020,121
average,Drama,5.5,English,11/1/2019,82,drama,American Son,5.8,1,11,2019,90
average,Biopic,5.5,English,12/16/2016,94,biopic,Barry,5.8,1,12,2016,104
average,Comedy,5.5,English,4/27/2018,82,comedy,Candy Jar,5.8,1,4,2018,92
average,Drama,5.5,Hindi,6/5/2020,105,drama,Choked: Paisa Bolta Hai,5.8,1,6,2020,114
average,Drama,5.5,Hindi,8/21/2020,94,drama,Class of '83,5.8,1,8,2020,98
average,Science fiction/Thriller,5.5,English,7/27/2018,94,thriller,Extinction,5.8,1,7,2018,95
average,Romantic comedy,5.5,English,3/30/2018,70,romantic,Happy Anniversary,5.8,1,3,2018,78
average,Thriller,5.5,English,5/14/2021,105,thriller,I Am All Girls,5.8,1,5,2021,107
average,Romantic comedy,5.5,English,11/8/2019,82,romantic,Let It Snow,5.8,1,11,2019,92
average,Mockumentary,5.5,English,10/13/2016,94,other,Mascots,5.8,1,10,2016,95
average,Romantic comedy,5.5,English,11/5/2020,94,romantic,Operation Christmas Drop,5.8,1,11,2020,96
average,Comedy-drama,5.5,Hindi,11/30/2018,117,drama,Rajma Chawal,5.8,1,11,2018,118
average,Romantic comedy,5.5,Portuguese,4/30/2020,94,romantic,Rich in Love,5.8,1,4,2020,105
average,Satire,5.5,German,4/17/2020,94,other,Rising High,5.8,1,4,2020,94
average,One-man show,5.5,English,4/28/2017,47,variety,Rodney King,5.8,1,4,2017,52
average,Romantic comedy-drama,5.5,English,9/7/2018,94,drama,Sierra Burgess Is a Loser,5.8,1,9,2018,105
average,Dark comedy,5.5,English,4/28/2017,94,comedy,Small Crimes,5.8,1,4,2017,95
average,Satire,5.5,English,4/29/2016,94,other,Special Correspondents,5.8,1,4,2016,100
average,Science fiction/Thriller,5.5,English,6/29/2018,94,thriller,TAU,5.8,1,6,2018,97
average,Comedy,5.5,English,8/24/2018,82,comedy,The After Party,5.8,1,8,2018,89
average,Comedy/Horror,5.5,English,9/10/2020,94,comedy,The Babysitter: Killer Queen,5.8,1,9,2020,102
average,Fantasy,5.5,Dutch,12/7/2020,94,adventure,The Claus Family,5.8,1,12,2020,96
average,Romantic comedy,5.5,English,7/24/2020,129,romantic,The Kissing Booth 2,5.8,1,7,2020,131
average,Romantic comedy,5.5,English,4/12/2019,82,romantic,The Perfect Date,5.8,1,4,2019,89
average,Drama,5.5,German,11/11/2020,82,drama,What We Wanted,5.8,1,11,2020,93
average,Romantic comedy,5.5,Spanish,10/2/2020,105,romantic,You've Got This,5.8,1,10,2020,111
average,Drama,5.5,English,4/6/2018,70,drama,6 Balloons,5.9,1,4,2018,75
average,Thriller,5.5,English,1/17/2020,117,thriller,A Fall from Grace,5.9,1,1,2020,120
average,Sports-drama,5.5,English,4/6/2018,94,drama,Amateur,5.9,1,4,2018,96
average,Zombie/Heist,5.5,English,5/21/2021,140,other,Army of the Dead,5.9,1,5,2021,148
average,Psychological horror,5.5,English,11/16/2018,94,horror,Cam,5.9,1,11,2018,94
average,Mystery,5.5,English,11/15/2019,105,other,Earthquake Bird,5.9,1,11,2019,107
average,Mockumentary,5.5,English,7/16/2019,23,other,"Frankenstein's Monster's Monster, Frankenstein",5.9,1,7,2019,32
average,Drama,5.5,English,2/7/2020,94,drama,Horse Girl,5.9,1,2,2020,104
average,Documentary,5.5,English,9/28/2018,12,documentary,Notes from Dunblane: Lesson from a School Shooting,5.9,1,9,2018,23
average,Romantic comedy,5.5,Hindi,3/27/2020,105,romantic,Maska,5.9,1,3,2020,111
average,Thriller,5.5,French,3/27/2020,82,thriller,The Decline,5.9,1,3,2020,83
average,Documentary,5.5,English,1/1/2021,47,documentary,The Minimalists: Less Is Now,5.9,1,1,2021,53
average,Comedy-drama,5.5,English,1/12/2018,94,drama,The Polka King,5.9,1,1,2018,95
average,Musical,5.5,English,12/11/2020,129,musical,The Prom,5.9,1,12,2020,132
average,Action comedy,5.5,English,11/11/2016,94,comedy,True Memoirs of an International Assassin,5.9,1,11,2016,98
average,Sports film,5.5,Italian,3/20/2020,105,other,Ultras,5.9,1,3,2020,108
average,Biopic,5.5,English,4/13/2018,105,biopic,Come Sunday,6,1,4,2018,106
average,Drama,5.5,Italian,5/4/2018,94,drama,Forgive Us Our Debts,6,1,5,2018,104
average,Science fiction/Thriller,5.5,English,1/27/2017,82,thriller,iBoy,6,1,1,2017,90
average,Drama,5.5,Hindi,8/9/2019,105,drama,Lovefucked,6,1,8,2019,106
average,Drama,5.5,English,3/8/2019,82,drama,Juanita,6,1,3,2019,90
average,Comedy mystery,5.5,English,6/14/2019,94,comedy,Murder Mystery,6,1,6,2019,97
average,Superhero,5.5,English,8/14/2020,105,other,Project Power,6,1,8,2020,113
average,Romantic thriller,5.5,English,10/21/2020,117,romantic,Rebecca,6,1,10,2020,123
average,Christmas comedy,5.5,English,11/25/2020,105,comedy,The Christmas Chronicles: Part Two,6,1,11,2020,115
average,Romantic comedy,5.5,English,5/11/2018,94,romantic,The Kissing Booth,6,1,5,2018,105
average,Romantic comedy,5.5,English,11/16/2018,94,romantic,The Princess Switch,6,1,11,2018,101
average,Romantic comedy,5.5,English,2/12/2020,94,romantic,To All the Boys: P.S. I Still Love You,6,1,2,2020,102
average,War-Comedy,5.5,English,5/26/2017,117,comedy,War Machine,6,1,5,2017,122
average,Action,6.0,English,12/13/2019,117,action,6 Underground,6.1,1,12,2019,128
average,Comedy,6.0,English,9/20/2019,82,comedy,Between Two Ferns: The Movie,6.1,1,9,2019,82
average,Drama,6.0,English,3/10/2017,94,drama,Burning Sands,6.1,1,3,2017,102
average,Documentary,6.0,English,4/28/2017,70,documentary,Casting JonBenet,6.1,1,4,2017,80
average,Drama,6.0,English,3/17/2017,94,drama,Deidra & Laney Rob a Train,6.1,1,3,2017,94
average,Family,6.0,English,1/29/2021,117,family,Finding 'Ohana,6.1,1,1,2021,123
average,Romantic comedy/Holiday,6.0,English,10/28/2020,94,romantic,Holidate,6.1,1,10,2020,104
average,Adventure-romance,6.0,English,11/1/2019,82,romantic,Holiday in the Wild,6.1,1,11,2019,85
average,Documentary,6.0,English,5/29/2015,82,documentary,Hot Girls Wanted,6.1,1,5,2015,84
average,Comedy,6.0,English,8/3/2018,94,comedy,Like Father,6.1,1,8,2018,103
average,Crime drama,6.0,English,3/13/2020,94,drama,Lost Girls,6.1,1,3,2020,95
average,Comedy,6.0,English,8/2/2019,94,comedy,Otherhood,6.1,1,8,2019,100
average,Adventure,6.0,English,3/18/2016,82,adventure,Pee-wee's Big Holiday,6.1,1,3,2016,89
average,Crime drama,6.0,French,10/30/2020,105,drama,Rogue City,6.1,1,10,2020,116
average,Biopic,6.0,English,4/17/2020,117,biopic,Sergio,6.1,1,4,2020,118
average,Drama,6.0,Turkish,1/8/2021,94,drama,Stuck Apart,6.1,1,1,2021,96
average,Drama,6.0,Indonesian,4/1/2021,105,drama,Tersanjung the Movie,6.1,1,4,2021,114
average,Western,6.0,Portuguese,11/10/2017,94,western,The Killer,6.1,1,11,2017,99
average,Romantic comedy,6.0,English,5/22/2020,82,romantic,The Lovebirds,6.1,1,5,2020,87
average,Biopic,6.0,English,3/24/2017,82,biopic,The Most Hated Woman in America,6.1,1,3,2017,92
average,Horror-thriller,6.0,English,5/24/2019,82,thriller,The Perfection,6.1,1,5,2019,90
average,Drama,6.0,Hindi,1/15/2021,94,drama,Tribhanga – Tedhi Medhi Crazy,6.1,1,1,2021,95
average,Thriller,6.0,Spanish,8/28/2020,94,thriller,Unknown Origins,6.1,1,8,2020,96
average,Dance comedy,6.0,English,8/7/2020,82,comedy,Work It,6.1,1,8,2020,93
average,Stop Motion,6.0,English,11/20/2020,35,other,Alien Xmas,6.2,1,11,2020,42
average,Biopic,6.0,Italian,5/26/2021,82,biopic,Baggio: The Divine Ponytail,6.2,1,5,2021,92
average,Drama,6.0,Spanish,1/29/2021,105,drama,Below Zero,6.2,1,1,2021,106
average,Drama,6.0,English,11/6/2020,140,drama,Citation,6.2,1,11,2020,151
average,Comedy-drama,6.0,Indonesian,8/17/2020,94,drama,Crazy Awesome Teachers,6.2,1,8,2020,101
average,Comedy,6.0,Turkish,4/9/2021,105,comedy,Have You Ever Seen Fireflies?,6.2,1,4,2021,114
average,Sports-drama,6.0,English,2/8/2019,82,drama,High Flying Bird,6.2,1,2,2019,90
average,Thriller,6.0,English,9/27/2019,105,thriller,In the Shadow of the Moon,6.2,1,9,2019,115
average,Thriller,6.0,French,6/19/2020,82,thriller,Lost Bullet,6.2,1,6,2020,92
average,Animation,6.0,English,8/14/2020,70,animation,Octonauts & the Caves of Sac Actun,6.2,1,8,2020,72
average,Thriller,6.0,Spanish,7/24/2020,129,thriller,Offering to the Storm,6.2,1,7,2020,139
average,Biopic,6.0,English,3/23/2018,94,biopic,Roxanne Roxanne,6.2,1,3,2018,98
average,Romantic comedy,6.0,English,4/19/2019,82,romantic,Someone Great,6.2,1,4,2019,92
average,Action comedy,6.0,English,3/6/2020,105,comedy,Spenser Confidential,6.2,1,3,2020,111
average,Drama,6.0,English,9/14/2018,94,drama,The Land of Steady Habits,6.2,1,9,2018,98
average,Documentary,6.0,English,4/27/2018,94,documentary,The Rachel Divide,6.2,1,4,2018,104
average,Documentary,6.0,English,12/1/2017,94,documentary,Voyuer,6.2,1,12,2017,95
average,Comedy,6.0,English,4/7/2017,82,comedy,Win It All,6.2,1,4,2017,88
average,Horror/Crime drama,6.0,English,10/20/2017,94,drama,1922,6.3,1,10,2017,102
average,Documentary,6.0,English/Spanish,5/22/2019,23,documentary,A Tale of Two Kitchens,6.3,1,5,2019,30
average,Romantic comedy,6.0,English,6/8/2018,94,romantic,Alex Strangelove,6.3,1,6,2018,99
average,Horror-thriller,6.0,English,10/12/2018,129,thriller,Apostle,6.3,1,10,2018,129
average,Family film,6.0,English,3/16/2018,82,family,Benji,6.3,1,3,2018,87
average,Urban fantasy,6.0,English,12/22/2017,117,adventure,Bright,6.3,1,12,2017,117
average,Drama/Horror,6.0,English,5/18/2018,94,drama,Cargo,6.3,1,5,2018,104
average,Drama,6.0,English,4/2/2021,105,drama,Concrete Cowboy,6.3,1,4,2021,111
average,Family/Comedy-drama,6.0,English,6/19/2020,105,drama,Feel the Beat,6.3,1,6,2020,107
average,Comedy,6.0,Portuguese,3/18/2021,94,comedy,Get the Goat,6.3,1,3,2021,97
average,Romantic comedy,6.0,French,4/13/2018,94,romantic,I Am Not an Easy Man,6.3,1,4,2018,98
average,Drama,6.0,Indonesian,1/28/2021,82,drama,June & Kopi,6.3,1,1,2021,90
average,Drama,6.0,Hindi,4/19/2019,94,drama,Music Teacher,6.3,1,4,2019,101
average,Documentary,6.0,English,5/26/2021,70,documentary,Nail Bomber: Manhunt,6.3,1,5,2021,72
average,Drama,6.0,Spanish,11/24/2020,82,drama,Notes for My Son,6.3,1,11,2020,83
average,Action,6.0,English,1/25/2019,117,action,Polar,6.3,1,1,2019,118
average,Comedy,6.0,Portuguese,12/21/2018,35,comedy,Porta dos Fundos: The Last Hangover,6.3,1,12,2018,44
average,War,6.0,English,4/21/2017,105,other,Sand Castle,6.3,1,4,2017,113
average,Crime thriller,6.0,English,6/9/2017,82,thriller,Shimmer Lake,6.3,1,6,2017,86
average,Science fiction/Action,6.0,English,12/9/2016,105,science fiction,Spectral,6.3,1,12,2016,108
